班克斯岛,Banks Island,
米洛斯岛,Milos,
北礁,Q814618,
蘇拉巖,Sula Sgeir,
国王岛,Kungsholmen,
惠爾島,Whale Island,
白金漢島,Buckingham Island,
博納卡島,Bonacca,
拉羅亞環礁,Raroia,
提克豪環礁,Tikehau,
溫德凱申島,Vindication Island,
陶埃雷環礁,Tauere,
博謝訥島,Beauchêne Island,
巴丹塔島,Batanta,
巴拉諾夫島,Baranof Island,
阿弗撒島,Avşa,
阿沃納克島,Avernakø,
阿韦斯岛,Isla Aves,
東斯島,Donsö,
科莫多島,Komodo,
錫盧埃特島,Silhouette Island,
阿爾斯島,Als,
斯凯岛,Skye,
維斯島,Vis,
埃尔斯米尔岛,Ellesmere Island,
沖大東島,Oki Daitō Island,
赖兴瑙岛,Reichenau Island,
博罗伊岛,Borðoy,
圣保罗岛,Île Saint-Paul,
圣基茨岛,Saint Kitts,
基西拉岛,Kythira,
小迪门岛,Lítla Dímun,
帕罗斯岛,Paros,
斯凯利格·迈克尔岛,Skellig Michael,
比奥科岛,Bioko,
羅科爾,Rockall,
萨索斯岛,Thasos,
科羅內申島,Coronation Island,
帕姆皮斯岛,Pampus,
凡尔赛岛日本庭园,île de Versailles,
奧尻島,Okushiri Island,
格克切島,Imbros,
羅芒島,Romang,
阿爾金,Arguin,
孔雀島,Pfaueninsel,
巴加巴格島,Bagabag,
巴瑟斯特岛 (北领地),Bathurst Island,
貝吉尼什島,Beginish Island,
福洛色島,Frösön,
玫瑰島共和國,Republic of Rose Island,
埃拉福尼索斯島,Elafonisos,
惡石島,Akusekijima,
夢之島,Yumenoshima,
弗兰格尔岛,Wrangel Island,
威廉王島,King William Island,
扎金索斯州,Zakynthos,
奇拉岛,Chira Island,
尼科巴群岛,Nicobar Islands,
欣島,Hinnøya,
维多利亚岛,Victoria Island,
萨摩斯岛,Samos,
东岛,Eysturoy,
埃利斯島,Ellis Island,
巴爾特拉島,Baltra Island,
彼得一世岛,Peter I Island,
萨莫色雷斯岛,Samothrace,
沃格岛,Vágar,
亨里埃塔島,Henrietta Island,
布爾什維克島,Bolshevik Island,
布洛頓島 (紐西蘭),"Broughton Island, New Zealand",
拉瓦赫雷環礁,Ravahere,
法亞爾島,Faial Island,
莫阿拉島,Moala Island,
韋爾德島,Werd,
希俄斯,Chios,
梅恩蘭島,Mainland,
別爾科夫斯基島,Belkovsky Island,
巴扎魯托島,Bazaruto Island,
比弗島 (密西根湖),Beaver Island,
格雷姆賽島,Graemsay,
錫里島,Sirri Island,
吉胆岛,Pulau Ketam,
巴克尔岛,Buckle Island,
布蘭島,Bulan Island,
維諾,Weno,
科尼島,"Coney Island, Bermuda",
永暑島,Fiery Cross Reef,
聖地牙哥島,Santiago,
三岛,Seoul Floating Island,
罗得岛,Rhodes,
厄尔巴岛,Elba,
松巴島,Sumba,
提諾島,Tino,
泰波托島,Tepoto,
兰佩杜萨岛,Lampedusa,
菲利普島,Phillip Island,
比弗島,Beaver Island,
巴都島,Badu Island,
康沃利斯岛,Cornwallis Island,
巴巴拉島,Barbara Island,
福阿島,Foa,
巴西兰岛,Basilan,
座间味岛,Zamami Island,
米尼科伊岛,Minicoy Island,
布干维尔岛,Bougainville Island,
鹭得岛,Nodeulseom,
北尤伊斯特岛,North Uist,
小青岛 (青岛),Xiao Qingdao,
默恩島,Møn,
布爾迪爾島,Buldir Island,
贊諾內島,Zannone,
西歸浦市,Seogwipo,
吉廖島,Giglio,
武尔卡诺岛,Vulcano,
威靈東島,Willingdon Island,
基度山,Montecristo,
羅亞爾島,Isle Royale,
巴韋安島,Q812044,
巴倫島,Barren Island,
哥得蘭島,Gotland,
坎達武島,Kadavu Island,
埃斯皮里圖桑托島,Isla Espíritu Santo,
奧羅納環礁,Orona,
新加坡岛,Pulau Ujong,
甘米银岛,Camiguin,
珍妮特島,Jeannette Island,
蝦夷地,Ezo,
麥基恩島,McKean Island,
諾諾烏蒂環礁,Nonouti,
雅米島,Mavudis,
穆赫雷斯岛,Isla Mujeres,
卡特島,Carter Island,
奧爾沃克斯島,Isla Holbox,
水納島,Minnajima,
伊茲拉島,Hydra,
喀帕苏斯岛,Karpathos,
茉莉亞島,Moorea,
班塔延島,Bantayan,
本尼特島,Bennett Island,
布顿岛,Buton,
科科島 (古巴),Cayo Coco,
馬格爾島,Magerøya,
聖十字島,Saint Croix Island,
南安普頓島,Southampton Island,
阿克塞尔海伯格岛,Axel Heiberg Island,
东南礁,Dongnanjiao,
奄美大島,Amami Ōshima,
庫里環礁,Kure Atoll,
詹姆斯羅斯島,James Ross Island,
