label,riverLabel,countryLabel
华岳山,Hwaaksan,South Korea
博格达峰,Bogda Peak,People's Republic of China
芳台山,Bangtaesan,South Korea
阿拉贝卡山,Arabika Massif,Georgia
陶利拉胡山,Taulliraju,Peru
庐山,Mount Lu,People's Republic of China
卡特德拉爾山,Cerro Catedral,Argentina
哥伦布峰,Pico Cristóbal Colón,Colombia
沙斯塔山,Mount Shasta,United States of America
卡西諾山,Monte Cassino,Italy
桂芳山,Gyebangsan,South Korea
盘岩山,Banamsan,South Korea
逍遙山,Soyosan,South Korea
卡揚貝火山,Cayambe,Ecuador
肯帕普山,Cairnpapple Hill,United Kingdom
倫圭山,Mount Rungwe,Tanzania
海茲基貝山脈,Jaizkibel,Spain
阿薩恰火山,Asacha,Russia
穆特洛夫斯基火山,Mutnovsky,Russia
諾納德諾克山,Mount Monadnock,United States of America
沃恩山,Tarso Voon,Chad
达克斯坦,Hoher Dachstein,Austria
菲爾德山,Feldberg,Germany
溫哥華山,Mount Vancouver,Canada
利佩茲火山,Cerro Lípes,Bolivia
加內科戈爾塔山,Ganekogorta,Spain
伊利尼薩火山,Illiniza,Ecuador
溫哥華山,Mount Vancouver,United States of America
洛根山,Mount Logan,Canada
博薩維山,Mount Bosavi,Papua New Guinea
魏斯峰,Weisshorn,Switzerland
羅卡蒙費納火山,Roccamonfina,Italy
斯科普斯山,Mount Scopus,Israel
別德馬火山,Viedma,Argentina
多穆約火山,Domuyo,Argentina
沃爾卡尼科山,Cerro Volcánico,Argentina
科爾東德爾阿蘇夫雷火山,Cordón del Azufre,Argentina
別德馬火山,Viedma,Chile
科爾東德爾阿蘇夫雷火山,Cordón del Azufre,Chile
梅魯火山,Mount Meru,Tanzania
密斯米雪山,Nevado Misti,Peru
內華達山脈 (複式火山),Sierra Nevada,Chile
阿賴度島,Atlasov Island,Russia
皮茲伯里那山,Piz Bernina,Switzerland
克拉夫拉火山,Krafla,Iceland
皮欽查火山,Pichincha Volcano,Ecuador
阿塔卡索火山,Atacazo,Ecuador
迪亞沃勒扎,Diavolezza,Switzerland
新燃岳,Shinmoedake,Japan
驼背山,Corcovado,Brazil
克盧德火山,Kelut,Indonesia
西林德羅峰,Cilindro de Marboré,Spain
索洛山,Cerro Solo,Argentina
伊宜馬尼峰,Illimani,Bolivia
索洛山,Cerro Solo,Chile
巴約山,Cerro Bayo,Argentina
比叡山,Mount Hiei,Japan
聖洛朗斯德曼山,Sant Llorenç del Munt,Spain
亞伏日采山,Javořice,Czech Republic
卡瓦格博,Kawagarbo,People's Republic of China
斯莱塔拉山,Slættaratindur,Faroe Islands
巴爾比火山,Mount Balbi,Papua New Guinea
阿里戈奇峰,Arrigetch Peaks,United States of America
皮拉图斯峰,Mount Pilatus,Switzerland
阿瓦萨克萨,Aavasaksa,Finland
波別達山,"Peak Pobeda, Sakha",Russia
帕爾卡拉胡山,Palcaraju,Peru
大卡佩拉山,Velika Kapela,Croatia
柏架山,Mount Parker,People's Republic of China
吉里格斯火山,Mount Griggs,United States of America
南迦巴瓦峰,Namcha Barwa,People's Republic of China
斯皮克山,Mount Speke,Uganda
瓦伊納皮克丘山,Huayna Picchu,Peru
法馬蒂納山脈,Cerro General Belgrano,Argentina
托盧卡火山,Nevado de Toluca,Mexico
玛夏布洛姆峰,Masherbrum,Pakistan
卡梅尼火山,Kamen,Russia
卡布賴火山,Cabaray,Bolivia
洛馬曼薩山,Mount Bintumani,Sierra Leone
罗特万德山,Rote Wand,Austria
定军山,Mount Dingjun,People's Republic of China
阿迪隆加托吉峰,Khazret Sultan,Tajikistan
阿迪隆加托吉峰,Khazret Sultan,Uzbekistan
布拉尼克山,Blaník,Czech Republic
日本阿尔卑斯山脉,Japanese Alps,Japan
圖蓬加蒂托火山,Tupungatito,Argentina
圖蓬加蒂托火山,Tupungatito,Chile
加舒爾布魯木IV峰,Gasherbrum IV,Pakistan
加舒爾布魯木IV峰,Gasherbrum IV,People's Republic of China
四姑娘山,Mount Siguniang,People's Republic of China
天柱山,Mount Tianzhu,People's Republic of China
奇纳梅卡火山,Chinameca,El Salvador
白云山,Baiyun Mountain,People's Republic of China
齐云山,Mount Qiyun,People's Republic of China
聖瑪麗山,Šmarna Gora,Slovenia
于埃納普蒂納火山,Huaynaputina,Peru
內瓦多·德·烏伊拉火山,Nevado del Huila,Colombia
杜阿尔特峰,Pico Duarte,Dominican Republic
里道特火山,Mount Redoubt,United States of America
索爾法塔拉火山,Solfatara,Italy
