label,riverLabel,countryLabel
麦克阿瑟迷宫,MacArthur Maze,United States of America
皇家路 (加利福尼亞州),El Camino Real,United States of America
A30大道,A30 road,United Kingdom
女王道,Queensway,United Kingdom
美国国道89A,U.S. Route 89A,United States of America
1號北達科他州州道,North Dakota Highway 1,United States of America
國道2號,Main road 2,Finland
美國國道101,U.S. Route 101,United States of America
國道A1號 (克羅埃西亞),A1,Croatia
紐澤西收費高速公路,New Jersey Turnpike,United States of America
跨威斯特徹斯特高速公路,Interstate 287,United States of America
摩羅街,Lascar Row,People's Republic of China
國道31號,National Highway 31,India
61号美国国道,U.S. Route 61,United States of America
78号美国国道,U.S. Route 78,United States of America
美国国道425,U.S. Route 425,United States of America
美国国道50,U.S. Route 50,United States of America
美国国道55,U.S. Route 55,United States of America
美国国道57,U.S. Route 57,United States of America
美国国道60,U.S. Route 60,United States of America
美国国道69,U.S. Route 69,United States of America
美国国道74,U.S. Route 74,United States of America
美国国道76,U.S. Route 76,United States of America
美国国道99,U.S. Route 99,United States of America
52号美国国道,U.S. Route 52,United States of America
53号美国国道,U.S. Route 53,United States of America
62号美国国道,U.S. Route 62,United States of America
70号美国国道,U.S. Route 70,United States of America
72号美国国道,U.S. Route 72,United States of America
79号美国国道,U.S. Route 79,United States of America
93号美国国道,U.S. Route 93,United States of America
96号美国国道,U.S. Route 96,United States of America
美国国道163,U.S. Route 163,United States of America
美国国道400,U.S. Route 400,United States of America
美国国道58,U.S. Route 58,United States of America
美国国道64,U.S. Route 64,United States of America
美国国道75,U.S. Route 75,United States of America
貝拉－洛比托高速公路,Beira–Lobito Highway,Democratic Republic of the Congo
貝拉－洛比托高速公路,Beira–Lobito Highway,Angola
貝拉－洛比托高速公路,Beira–Lobito Highway,Zimbabwe
278號州際道路,Interstate 278,United States of America
22号州际公路,Interstate 22,United States of America
花園州公園大道,Garden State Parkway,United States of America
美国国道9W,U.S. Route 9W,United States of America
貝拉－洛比托高速公路,Beira–Lobito Highway,Mozambique
A1公路,A1 highway,Lithuania
貝拉－洛比托高速公路,Beira–Lobito Highway,Zambia
乾草市場,Haymarket,United Kingdom
尼德尔克尔新纳大街,Niederkirchnerstraße,Germany
1號特拉華州州道,Delaware Route 1,United States of America
大西洋城快速公路,Atlantic City Expressway,United States of America
國道1號,National Highway 1,India
欧洲E75公路,European route E75,Norway
欧洲E75公路,European route E75,Hungary
欧洲E75公路,European route E75,Poland
欧洲E75公路,European route E75,Slovakia
欧洲E75公路,European route E75,Finland
國道A3號 (克羅埃西亞),A3,Croatia
欧洲E75公路,European route E75,Czech Republic
