label,riverLabel,countryLabel
库尔斯克州,Kursk Oblast,Russia
弗拉基米尔州,Vladimir Oblast,Russia
北哈薩克斯坦州,North Kazakhstan Province,Kazakhstan
罗斯托夫州,Rostov Oblast,Russia
洛姆市,Lom Municipality,Bulgaria
伏尔加格勒州,Volgograd Oblast,Russia
卡卢加州,Kaluga Oblast,Russia
坦波夫州,Tambov Oblast,Russia
波波沃市,Popovo Municipality,Bulgaria
薩托夫查市,Satovcha Municipality,Bulgaria
阿塞諾夫格勒市,Asenovgrad Municipality,Bulgaria
敖德萨州,Odessa Oblast,Ukraine
盧甘斯克州,Luhansk Oblast,Ukraine
考利諾沃市,Kaolinovo Municipality,Bulgaria
伊赫蒂曼市,Ihtiman Municipality,Bulgaria
希薩里亞市,Hisarya Municipality,Bulgaria
新扎戈拉市,Nova Zagora Municipality,Bulgaria
達斯卡洛夫兄弟市,Bratya Daskalovi Municipality,Bulgaria
基洛夫格勒州,Kirovohrad Oblast,Ukraine
科斯廷布羅德市,Kostinbrod Municipality,Bulgaria
貝利察市,Belitsa Municipality,Bulgaria
貝洛格拉奇克市,Belogradchik Municipality,Bulgaria
大特爾諾沃市,Veliko Tarnovo Municipality,Bulgaria
博羅沃市,Borovo Municipality,Bulgaria
加布羅沃市,Gabrovo Municipality,Bulgaria
埃爾霍沃市,Elhovo Municipality,Bulgaria
庫斯塔奈州,Kostanay Region,Kazakhstan
阿克莫拉州,Akmola Region,Kazakhstan
布魯薩爾齊市,Brusartsi Municipality,Bulgaria
塞夫利耶沃市,Sevlievo Municipality,Bulgaria
盧科維特市,Lukovit Municipality,Bulgaria
揚博爾市,Yambol Municipality,Bulgaria
阿特勞州,Atyrau Province,Kazakhstan
科普里夫什蒂察市,Koprivshtitsa Municipality,Bulgaria
格勒博沃市,Galabovo Municipality,Bulgaria
圖爾蓋州,Turgay Oblast,Soviet Union
科切里諾沃市,Kocherinovo Municipality,Bulgaria
斯雷代茨市,Sredets Municipality,Bulgaria
內韋斯蒂諾市,Nevestino Municipality,Bulgaria
馬賈羅沃市,Madzharovo Municipality,Bulgaria
奧莫爾塔格市,Omurtag Municipality,Bulgaria
西哈薩克斯坦州,West Kazakhstan Province,Kazakhstan
通賈市,Tundzha Municipality,Bulgaria
斯利文市,Sliven Municipality,Bulgaria
佩爾尼克市,Pernik Municipality,Bulgaria
馬里察市,Maritsa Municipality,Bulgaria
卡瓦爾納市,Kavarna Municipality,Bulgaria
斯特拉日察市,Strazhitsa Municipality,Bulgaria
拉茲洛格市,Razlog Municipality,Bulgaria
克爾賈利市,Kardzhali Municipality,Bulgaria
哈斯科沃市,Haskovo Municipality,Bulgaria
伊万诺-弗兰科夫斯克州,Ivano-Frankivsk Oblast,Ukraine
羅夫諾州,Rivne Oblast,Ukraine
松古爾拉雷市,Sungurlare Municipality,Bulgaria
卡爾諾巴特市,Karnobat Municipality,Bulgaria
格羅德諾州,Grodno Region,Belarus
斯特拉爾賈市,Straldzha Municipality,Bulgaria
維丁市,Vidin Municipality,Bulgaria
下巴尼亞市,Dolna Banya Municipality,Bulgaria
默格利日市,Maglizh Municipality,Bulgaria
伊万诺沃州,Ivanovo Oblast,Russia
乌里扬诺夫斯克州,Ulyanovsk Oblast,Russia
奥廖尔州,Oryol Oblast,Russia
丘斯滕迪爾市,Kyustendil Municipality,Bulgaria
內代利諾市,Nedelino Municipality,Bulgaria
德里亞諾沃市,Dryanovo Municipality,Bulgaria
格奧爾基達米亞洛沃市,Georgi Damyanovo Municipality,Bulgaria
科茲洛杜伊市,Kozloduy Municipality,Bulgaria
澤門市,Zemen Municipality,Bulgaria
茲拉托格勒市,Zlatograd Municipality,Bulgaria
克孜勒奧爾達州,Kyzylorda Province,Kazakhstan
切洛佩奇市,Chelopech Municipality,Bulgaria
阿爾迪諾市,Ardino Municipality,Bulgaria
沃爾切德勒姆市,Valchedram Municipality,Bulgaria
米濟亞市,Miziya Municipality,Bulgaria
布拉齊戈沃市,Bratsigovo Municipality,Bulgaria
帕維爾巴尼亞市,Pavel Banya Municipality,Bulgaria
特倫市,Tran Municipality,Bulgaria
伊瓦伊洛夫格勒市,Ivaylovgrad Municipality,Bulgaria
克里奇姆市,Krichim Municipality,Bulgaria
捷爾諾波爾州,Ternopil Oblast,Ukraine
普羅夫迪夫市,Plovdiv Municipality,Bulgaria
博利亞羅沃市,Bolyarovo Municipality,Bulgaria
貝洛斯拉夫市,Beloslav Municipality,Bulgaria
布爾加斯市,Burgas Municipality,Bulgaria
拉多米爾市,Radomir Municipality,Bulgaria
拉科夫斯基市,Rakovski Municipality,Bulgaria
佩魯什蒂察市,Perushtitsa Municipality,Bulgaria
德拉戈曼市,Dragoman Municipality,Bulgaria
亞基莫沃市,Yakimovo Municipality,Bulgaria
卡洛揚沙皇市,Tsar Kaloyan Municipality,Bulgaria
沃爾舍茨市,Varshets Municipality,Bulgaria
貝爾科維察市,Berkovitsa Municipality,Bulgaria
韋內茨市,Venets Municipality,Bulgaria
特爾戈維什特市,Targovishte Municipality,Bulgaria
利佩茨克州,Lipetsk Oblast,Russia
特维尔州,Tver Oblast,Russia
别尔哥罗德州,Belgorod Oblast,Russia
奔萨州,Penza Oblast,Russia
斯摩棱斯克州,Smolensk Oblast,Russia
萨哈林州,Sakhalin Oblast,Russia
博伊尼察市,Boynitsa Municipality,Bulgaria
莫吉廖夫州,Mogilev Region,Belarus
下米特羅波利亞市,Dolna Mitropoliya Municipality,Bulgaria
錫米特利市,Simitli Municipality,Bulgaria
博里諾市,Borino Municipality,Bulgaria
恰夫達爾市,Chavdar Municipality,Bulgaria
特沃爾迪察市,Tvarditsa Municipality,Bulgaria
奇普羅夫齊市,Chiprovtsi Municipality,Bulgaria
布雷戈沃市,Bregovo Municipality,Bulgaria
彼尔姆州,Perm Oblast,Russia
克魯莫夫格勒市,Krumovgrad Municipality,Bulgaria
費爾干納州,Fergana Oblast,Russian Empire
新塞洛市,Novo Selo Municipality,Bulgaria
西部區,Western Oblast,Russian Soviet Federative Socialist Republic
切佩拉雷市,Chepelare Municipality,Bulgaria
博泰夫格勒市,Botevgrad Municipality,Bulgaria
塞普泰姆夫里市,Septemvri Municipality,Bulgaria
拉基托沃市,Rakitovo Municipality,Bulgaria
南哈薩克斯坦州,South Kazakhstan Region,Kazakhstan
大盧基州,Velikiye Luki Oblast,Soviet Union
亞科魯達市,Yakoruda Municipality,Bulgaria
帕扎爾吉克市,Pazardzhik Municipality,Bulgaria
特里亞夫納市,Tryavna Municipality,Bulgaria
阿爾扎馬斯州,Q3348194,Soviet Union
明斯克州,Minsk Region,Belarus
納哥諾卡拉巴克自治州,Nagorno-Karabakh Autonomous Oblast,Soviet Union
托舍夫將軍市,General Toshevo Municipality,Bulgaria
卡拉干達州,Karagandy Region,Kazakhstan
切爾諾奧切內市,Chernoochene Municipality,Bulgaria
圖瓦自治省,Tuvan Autonomous Oblast,Soviet Union
阿克托貝州,Aktobe Region,Kazakhstan
凱納爾賈市,Kaynardzha Municipality,Bulgaria
瑟埃迪內尼埃市,Saedinenie Municipality,Bulgaria
舊扎戈拉市,Stara Zagora Municipality,Bulgaria
布列斯特州,Brest Region,Belarus
科克切塔夫州,Q1538206,Kazakhstan
科克切塔夫州,Q1538206,Soviet Union
卡拉恰伊自治州,Karachay Autonomous Oblast,Soviet Union
馬里自治州,Mari Autonomous Oblast,Russian Soviet Federative Socialist Republic
奧倫堡州,Orenburg Oblast,Russia
戈爾諾－阿爾泰自治州,Gorno-Altai Autonomous Oblast,Soviet Union
馬里自治州,Mari Autonomous Oblast,Soviet Union
佩什泰拉市,Peshtera Municipality,Bulgaria
萊西喬沃市,Lesichovo Municipality,Bulgaria
德羅戈貝奇州,Drohobych Oblast,Soviet Union
布雷佐沃市,Brezovo Municipality,Bulgaria
巴甫洛達爾州,Pavlodar Province,Kazakhstan
巴拉紹夫州,Q1058392,Soviet Union
切爾克斯自治區,Cherkess Autonomous Oblast,Soviet Union
阿克莫林斯克州,Aqmola Oblast,Russian Soviet Federative Socialist Republic
