label,cityLabel,countryLabel
炳靈寺石窟,Bingling Temple,People's Republic of China
KV8,KV8,Egypt
霍梅尼陵,Mausoleum of Khomeini,Iran
希悉子孙墓,Tomb of Benei Hezir,Israel
雅典娜·帕德嫩,Athena Parthenos,Greece
高句丽王城、王陵及贵族墓葬,Capital Cities and Tombs of the Ancient Koguryo Kingdom,People's Republic of China
亚纳柱,Q564625,Austria
圣尼古拉教堂,"St. Nicholas' Church, Hamburg",Germany
謙陵,Tomb of Tự Đức,Vietnam
张衡墓,Q11067651,People's Republic of China
乐山大佛,Leshan Giant Buddha,People's Republic of China
應陵,Tomb of Khai Dinh,Vietnam
宋庆龄墓,grave of Soong Ching-ling,People's Republic of China
明十三陵,Ming Dynasty Tombs,People's Republic of China
菲洛帕波斯紀念碑,Philopappos Monument,Greece
王建墓,Tomb of Wang Jian,People's Republic of China
佛卡斯圓柱,Column of Phocas,Italy
圣儒斯蒂娜圣殿,Abbey of Santa Giustina,Italy
碑,stele,Egypt
漢杜陵,Q17032732,People's Republic of China
武藏陵區,Musashi Imperial Graveyard,Japan
倫敦韓戰紀念碑,Korean War Memorial,United Kingdom
KV4,KV4,Egypt
霍去病墓,tomb of Huo Qubing,People's Republic of China
鲁迅墓,Lu Xun's tomb,People's Republic of China
大卫墓,David's Tomb,Israel
雅典獎杯亭,Choragic Monument of Lysicrates,Greece
奢香墓,Q10942475,People's Republic of China
押沙龙墓,Tomb of Absalom,Israel
歐洲被害猶太人紀念碑,Memorial to the Murdered Jews of Europe,Germany
撒迦利亚墓,Tomb of Zechariah,Israel
陈嘉庚墓,Q16917799,People's Republic of China
黄兴墓,Tomb of Huang Xing,People's Republic of China
江西三墓,Kangso Three Tombs,North Korea
巴米揚大佛,Buddhas of Bamiyan,Afghanistan
吳沙墓,Q10918978,Taiwan
卡纳克巨石林,Carnac stones,France
KV62,KV62,Egypt
漢康陵,Q17032691,People's Republic of China
漢渭陵,Q17039158,People's Republic of China
胡国珍墓,Q17034521,People's Republic of China
奧林匹亞宙斯神像,Statue of Zeus at Olympia,Greece
蔡锷墓,Tomb of Cai E,People's Republic of China
海昏侯墓,Tomb of Marquess of Haihun,People's Republic of China
曾侯乙墓,Tomb of Marquis Yi of Zeng,People's Republic of China
黄道婆墓,Q11178507,People's Republic of China
比利維陵寢,Belevi Mausoleum,Turkey
拉美西斯二世巨像,Statue of Ramesses II,Egypt
阿斯基亚陵,Tomb of Askia,Mali
独立纪念柱,Angel of Independence,Mexico
德里鐵柱,Iron pillar of Delhi,India
浡泥国王墓,Tomb of the King of Boni,People's Republic of China
王建王陵,Tomb of King Wanggon,North Korea
漢延陵,Han Yanling,People's Republic of China
明裕陵,Q6789405,People's Republic of China
胜利纪念柱,Siegessäule,Germany
明昭陵,Zhaoling,People's Republic of China
柔佛蘇丹馬末沙二世的被殺,Makam Sultan Mahmud Mangkat Dijulang,Malaysia
蒂班耶什圣玛尔定修道院,Monastery of São Martinho de Tibães,Portugal
委內瑞拉先賢祠,National Pantheon of Venezuela,Venezuela
孝陵,Tomb of Minh Mang,Vietnam
亞歷山大柱,Alexander Column,Russia
漢長陵,Q1062077,People's Republic of China
浦添極樂陵,Urasoe yōdore,Japan
冯玉祥墓,tomb of Feng Yuxiang,People's Republic of China
KV1,KV1,Egypt
漢霸陵,Q15911545,People's Republic of China
明景陵,Jingling,People's Republic of China
高颐墓阙及石刻,Q1289909,People's Republic of China
羅得島太陽神銅像,Colossus of Rhodes,Greece
國會柱,Congress Column,Belgium
不伦瑞克公爵墓,Brunswick Monument,Switzerland
洪保墓,Q18234884,People's Republic of China
中原大佛,Spring Temple Buddha,People's Republic of China
图拉真柱,Trajan's Column,Italy
五陵,Q1453193,People's Republic of China
景陵 (北魏),Luoyang Ancient Tombs Museum,People's Republic of China
王得祿墓,Tomb of Wang De-lu,Taiwan
于谦墓,Tomb of Yu Qian,People's Republic of China
梁漱溟墓,tomb of Liang Shuming,People's Republic of China
林肯纪念堂,Lincoln Memorial,United States of America
KV34,KV34,Egypt
清昭陵,Zhao Mausoleum,People's Republic of China
唐乾陵,Qianling Mausoleum,People's Republic of China
唐一岑墓,tomb of Tang Yicen,People's Republic of China
祖国母亲在召唤,The Motherland Calls,Russia
无名烈士墓,Tomb of the Unknown Soldier,Russia
明寧靖王墓,Tomb of Prince of Ningjing,Taiwan
狮身人面像,The Great Sphinx,Egypt
妇好墓,Tomb of Fu Hao,People's Republic of China
巴伐利亚雕像,Bavaria,Germany
胡馬雍陵,Humayun's Tomb,India
明长陵,Changling,People's Republic of China
干草市场烈士纪念碑,Haymarket Martyrs' Monument,United States of America
乘場古墳,Q18338784,Japan
明清皇家陵寝,Imperial Tombs of the Ming and Qing Dynasties,People's Republic of China
吉伦特派纪念碑,Monument aux Girondins,France
石舞台古墳,Ishibutai Kofun,Japan
印尼國家紀念塔,"Monas, National Monument of Indonesia",Indonesia
里約熱內盧基督像,Christ the Redeemer,Brazil
善藏塚古墳,Q17995346,Japan
佐紀陵山古墳,Saki Ling mountain tumulus,Japan
原爆死沒者慰靈碑,Cenotaph for the A-Bomb Victims,Japan
格拉茨附近内施特尔巴赫,Nestelbach bei Graz,Austria
巴黎地下墓穴,Catacombs of Paris,France
三十字架,Three Crosses,Lithuania
安特克拉支石墓遗址,Antequera Dolmens Site,Spain
裝飾古墳,Decorated kofun,Japan
智慧樹 (澳大利亞),Tree of Knowledge,Australia
炎黄二帝巨型塑像,Emperors Yan and Huang,People's Republic of China
宇宙征服者紀念碑,Monument to the Conquerors of Space,Russia
皇家禮拜堂 (德勒),Chapelle royale de Dreux,France
比爾卡,Birka,Sweden
马尔西安柱,Column of Marcian,Byzantine Empire
伦敦大火纪念碑,Monument to the Great Fire of London,United Kingdom
约克市战争纪念碑,York City War Memorial,United Kingdom
女神圆柱,Column of the Goddess,France
亨吉斯特伯里角,Hengistbury Head,United Kingdom
里斯本大耶穌像,Christ the King statue,Portugal
哥伦布纪念碑,Columbus Monument,Spain
纽格莱奇墓,Newgrange,Ireland
法國聖母,Statue de Notre-Dame de France,France
烈士紀念碑,Maqam Echahid,Algeria
馬可奧里略圓柱,Column of Marcus Aurelius,Italy
查令十字,Charing Cross,United Kingdom
三城古墳,Q11354003,Japan
上石津御陵古墳,Q11359978,Japan
五條貓塚古墳,Q11372490,Japan
作山古墳,Q11385355,Japan
會津大塚山古墳,Q11381233,Japan
教宗圆柱,Q2396560,France
黎剎纪念碑,Rizal Monument,Philippines
哈爾濱市人民防洪勝利紀念塔,Harbin Flood Control Memorial Tower,People's Republic of China
馬丁·路德·金紀念碑,"Martin Luther King, Jr. Memorial",United States of America
大堤權現塚古墳,Q11433867,Japan
高松塚古墳,Takamatsuzuka Tomb,Japan
毛泽东青年艺术雕塑,Youth Mao Zedong Statue,People's Republic of China
島之山古墳,Q17213138,Japan
好萊塢星光大道,Hollywood Walk of Fame,United States of America
大仙陵古墳,Daisenryō Kofun,Japan
稻荷山古墳 (高島市),Q17193420,Japan
稻荷山古墳 (行田市),Inariyama Kofun,Japan
十日山古墳,Q17219587,Japan
大鶴卷古墳,Q17227935,Japan
南山海上观音圣像,Guanyin of Nanshan,People's Republic of China
法華山古墳,Q11337664,Japan
蝙蝠塚古墳,Kōmori-zuka Burial Mound,Japan
譽田御廟山古墳,Q11631432,Japan
野毛大塚古墳,Q11645747,Japan
高尾山古墳,Q11638291,Japan
舍诺城堡,Chenaux Castle,Switzerland
杰斐逊纪念堂,Jefferson Memorial,United States of America
罗拔诺甫-罗斯托夫斯基宫,Lobanov-Rostovsky Palace,Russia
西藏和平解放纪念碑,Monument to the Peaceful Liberation of Tibet,People's Republic of China
麦哲伦十字架,Magellan's Cross,Philippines
哥本哈根大學植物園,University of Copenhagen Botanical Garden,Denmark
路易十六纪念柱,colonne Louis-XVI,France
國立廣島原爆死沒者追悼平和祈念館,Hiroshima National Peace Memorial Hall for the Atomic Bomb Victims,Japan
维基百科纪念雕像,Wikipedia Monument,Poland
姊崎二子塚古墳,Q11447258,Japan
山寶姬塚古墳,Q11467730,Japan
大同煤矿万人坑,Q1907495,People's Republic of China
第二次世界大戰紀念碑,National World War II Memorial,United States of America
纳尔逊纪念柱,Nelson's Column,United Kingdom
西貝流士雕像,Sibelius Monument,Finland
美国海军亚利桑那号战列舰纪念馆,USS Arizona Memorial,United States of America
卡傑拉霍,Khajuraho Group of Monuments,India
冰雪之門,Hyousetsu no Mon,Japan
江田船山古墳,Q11259227,Japan
联邦国家纪念堂,Federal Hall,United States of America
