label,cityLabel
悲惨世界,Les Misérables
美麗新世界,Brave New World
日常生活之精神病學,The Psychopathology of Everyday Life
我的奋斗,Mein Kampf
集韻,Jiyun
戰地鐘聲,For Whom the Bell Tolls
危險夏日,The Dangerous Summer
钢铁是怎样炼成的,How the Steel Was Tempered
教父,The Godfather
哈比人歷險記,The Hobbit
新月莊的艾蜜莉,Emily of New Moon
深渊上的火,A Fire Upon the Deep
父與子,Fathers and Sons
宇宙学入门,Cosmographiae Introductio
這樣算是殭屍嗎？,Is This a Zombie?
1985(安東尼·伯吉斯的小說),1985
戰國策,Zhan Guo Ce
西线无战事,All Quiet on the Western Front
國富論,The Wealth of Nations
高老頭,Le Pere Goriot
小杜丽,Little Dorrit
海边的卡夫卡,Kafka on the Shore
黛西·米勒,Daisy Miller
彻尽万法根源智经,gospel of Mani
化学术语总目录,Compendium of Chemical Terminology
波西傑克森—妖魔之海,The Sea of Monsters
西遊記,Journey to the West
无畏的希望,The Audacity of Hope
自然系統,Systema Naturae
我是猫,I Am a Cat
叶甫盖尼·奥涅金,Eugene Onegin
暮光之城：破曉,Breaking Dawn
袭来！美少女邪神,Nyaruko: Crawling with Love
精靈寶鑽,The Silmarillion
长征记,Anabasis
炼金术士,The Alchemist
光輝之書,Zohar
周髀算經,Zhou Bi Suan Jing
基度山恩仇記,The Count of Monte Cristo
怪獸與牠們的產地,Fantastic Beasts and Where to Find Them
撒旦诗篇,The Satanic Verses
地心歷險記,A Journey to the Center of the Earth
远大前程,Great Expectations
魔鬼圣经,Codex Gigas
齊瓦哥醫生,Doctor Zhivago
真愛挑日子,One Day
論猶太民族問題,On the Jewish Question
黑屋,Black House
化身博士,Strange Case of Dr Jekyll and Mr Hyde
斐德羅篇,Phaedrus
伊斯坦布尔：一座城市的記憶,Istanbul: Memories and the City
世界之冬,Winter of the World
火星紀事,The Martian Chronicles
网络生命大百科,Encyclopedia of Life
克力同篇,Crito
失落的秘符,The Lost Symbol
布羅克豪斯百科全書,Brockhaus Enzyklopädie
柯林斯英语词典,Collins English Dictionary
斐多篇,Phaedo
汤姆·琼斯,"The History of Tom Jones, a Foundling"
增长的极限,The Limits to Growth
人類之子 (小說),The Children of Men
寓所謎案,The Murder at the Vicarage
維也納迪奧科里斯,Vienna Dioscurides
在世界的中心呼喊愛情,Socrates in Love
黑暗勢力,Dark Forces
纽伦堡编年史,Nuremberg Chronicle
一個陌生女子的來信,Letter from an Unknown Woman
沉默的羔羊,The Silence of the Lambs
道林·格雷的画像,The Picture of Dorian Gray
暮光之城：蝕,Eclipse
克麗斯汀,Christine
众生之路,The Way of All Flesh
大外交,Diplomacy
恐懼的總和,The Sum of All Fears
最後的戰役,The Last Battle
一個小小的建議,A Modest Proposal
上帝错觉,The God Delusion
小先知書,Twelve Minor Prophets
虹彩六號,Rainbow Six
蘇黎世聖經譯本,Zürich Bible
八大奇案,Q1060935
第三种文化,The Third Culture
天主教百科全書,Catholic Encyclopedia
太阳的季节,Season of the Sun
小兔班傑明,The Tale of Benjamin Bunny
鍋匠·裁縫·士兵·間諜,"Tinker, Tailor, Soldier, Spy"
世界征服者史,Tarikh-i Jahangushay-i Juvaini
心灵史,History of the Soul
慾海有情天,"Teleny, or The Reverse of the Medal"
地海奇風,The Other Wind
横子的故事,So Far from the Bamboo Grove
罗马帝王纪,Augustan History
幸運之星系列,Lucky Starr series
图腾与禁忌,Totem and Taboo
尋愛綺夢,Hypnerotomachia Poliphili
死亡終局,Death Comes as the End
生命中不能承受之轻,The Unbearable Lightness of Being
魔島,Duma Key
靈魂代筆,Ghostwritten
神鬼認證,The Bourne Identity
白痴,The Idiot
天主教教理,Catechism of the Catholic Church
第一本書,Unua Libro
夜未央,Tender Is the Night
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix
ArchINFORM,ArchINFORM
光學書,Book of Optics
喪王降臨,Lord Loss
普宁,Pnin
城市词典,Urban Dictionary
铁皮鼓,The Tin Drum
红字,The Scarlet Letter
歷史,The Histories
骸骨之城 (小說),City of Bones
寂静的春天,Silent Spring
社会学方法的规则,The Rules of Sociological Method
苏珊夫人,Lady Susan
史蒂芬金的14張牌,Everything's Eventual
国际藻类、真菌、植物命名法规,"International Code of Nomenclature for algae, fungi, and plants"
封神演義,Hoshin Engi
南京浩劫：被遺忘的大屠殺,The Rape of Nanking
改革历程,Prisoner of the State
鬼太郎之妻,GeGeGe no Nyōbō
Everything引擎,Everything2
荒野侦探,The Savage Detectives
部落的崛起,World of Warcraft: Rise of the Horde
地铁2033,Metro 2033
模度,Modulor
希臘左巴,Zorba the Greek
论自由,On Liberty
