label,cityLabel
生物多樣性文獻圖書館,Biodiversity Heritage Library
國家圖書館,National Central Library
倫敦圖書館,London Library
國立國會圖書館,National Diet Library
南锡市立图书馆,Bibliothèque municipale de Nancy
印度国家图书馆,National Library of India
國立威爾斯圖書館,National Library of Wales
語言學圖書館,Philological Library of Freie Universität Berlin
國家圖書館,National Library of Singapore
泰恩威爾郡檔案辦公室,Literary and Philosophical Society of Newcastle upon Tyne
加州大学圣塔芭芭拉分校图书馆,"University of California, Santa Barbara Library"
切塔姆圖書館,Chetham's Library
藍田公共圖書館,Lam Tin Public Library
駱克道公共圖書館,Lockhart Road Public Library
大興公共圖書館,Tai Hing Public Library
慈雲山公共圖書館,Tsz Wan Shan Public Library
德意志国家图书馆,German National Library
博德利圖書館,Bodleian Library
柏林国家图书馆,Berlin State Library
梵蒂岡宗座圖書館,Vatican Library
葡萄牙國家圖書館,Biblioteca Nacional de Portugal
乌克兰维尔纳茨基国家图书馆,Vernadsky National Library of Ukraine
摩爾多瓦國家圖書館,National Library of Moldova
斯洛伐克國家圖書館,Slovak National Library
紐貝利圖書館,Newberry Library
西班牙国家图书馆,Biblioteca Nacional de España
丹麦皇家图书馆,Royal Library of Denmark
老楞佐图书馆,Biblioteca Medicea Laurenziana
剑桥大学图书馆,Cambridge University Library
斯洛維尼亞國家圖書館,National and University Library of Slovenia
黑龙江省图书馆,Heilongjiang Provincial Library
石塘咀公共圖書館,Shek Tong Tsui Public Library
粉嶺公共圖書館,Fanling Public Library
蝴蝶邨公共圖書館,Butterfly Estate Public Library
漢堡州立大學圖書館,Hamburg State and University Library Carl von Ossietzky
香港仔公共圖書館,Aberdeen Public Library
海南省图书馆,Hainan Provincial Library
臺北市立圖書館北投分館,Taipei Public Library Beitou Branch
馬鞍山公共圖書館,Ma On Shan Public Library
國立臺灣圖書館,National Taiwan Library
亞美尼亞國家圖書館,National Library of Armenia
巴西国家图书馆,National Library of Brazil
匈牙利電子期刊存檔,Electronic Periodical Archive
拉脫維亞國家圖書館,National Library of Latvia
斯德哥尔摩公共图书馆,Stockholm Public Library
JSTOR,JSTOR
希腊国家图书馆,National Library of Greece
伊朗國家圖書館,National Library of Iran
馬丁·路德·金恩紀念圖書館,Martin Luther King Jr. Memorial Library
阿塞拜疆國家圖書館,National Library of Azerbaijan
何東圖書館,Sir Robert Ho Tung Library
卡迪夫中央圖書館,Cardiff Central Library
土耳其國家圖書館,National Library of Turkey
歐洲圖書館,The European Library
世界数字图书馆,World Digital Library
俄罗斯国立图书馆,Russian State Library
Gallica,Gallica
馬爾他國家圖書館,National Library of Malta
爱尔兰国家图书馆,National Library of Ireland
互联网档案馆,Internet Archive
安道爾國家圖書館,Andorra National Library
古腾堡计划,Project Gutenberg
利物浦中央圖書館,Liverpool Central Library
葉利欽總統圖書館,Boris Yeltsin Presidential Library
挪威國家圖書館,National Library of Norway
路易斯諾塔里圖書館,Louis Notari Library
波士顿公共图书馆,Boston Public Library
塞爾維亞國家圖書館,National Library of Serbia
列支敦士登國家圖書館,Liechtenstein State Library
瑞典皇家圖書館,National Library of Sweden
荷蘭皇家圖書館,Koninklijke Bibliotheek
卡斯卡迪亞國家黨,Haskell Free Library and Opera House
立陶宛国家图书馆,Martynas Mažvydas National Library of Lithuania
马克思主义文库,Marxists Internet Archive
馬其頓國家和大學圖書館,"National and University Library ""St. Kliment of Ohrid"""
不丹國家圖書館,National Library of Bhutan
维基文库,Wikisource
孟加拉國國家圖書館,National Library of Bangladesh
歐洲數位圖書館,Europeana
正讀圖書館,Jeongdok Public Library
美國國家農業圖書館,United States National Agricultural Library
香港公共圖書館,Hong Kong Public Libraries
白俄羅斯國家圖書館,National Library of Belarus
国立塞切尼图书馆,National Széchényi Library
阿瑟納爾圖書館,Bibliothèque de l'Arsenal
教育文獻資料庫,Education Resources Information Center
