label,cityLabel,countryLabel
卻斯特站之役,Battle of Chester Station,United States of America
沃尚普戰役,Battle of Vauchamps,France
今山之戰,Q10883972,Japan
南米爾斯之役,Battle of South Mills,United States of America
白廳之役,Battle of White Hall,United States of America
蒙米賴戰役,Battle of Montmirail,France
提康德羅加堡圍城戰 (1777年),Siege of Fort Ticonderoga,United States of America
第六次伊松佐河之役,Sixth Battle of the Isonzo,Italy
利尼戰役,Battle of Ligny,Belgium
第一次伊普爾戰役,First Battle of Ypres,Belgium
第一次聖奧爾本斯戰役,First Battle of St Albans,United Kingdom
第二次马恩河战役,Second Battle of the Marne,France
武汉会战,Battle of Wuhan,People's Republic of China
蒂克斯伯里战役,Battle of Tewkesbury,United Kingdom
阿爾伯馬爾灣海戰,Battle of Albemarle Sound,United States of America
聖維特戰役,Battle of St. Vith,Belgium
薩拉托加大戰,Battles of Saratoga,United States of America
辛德曼堡战役,Battle of Arkansas Post,United States of America
錢斯勒斯維爾戰役,Battle of Chancellorsville,United States of America
保瑪爾宋特,Battle of Bomarsund,Finland
韋爾低地教堂之役,Battle of Ware Bottom Church,United States of America
一江山岛战役,Battle of Yijiangshan Islands,People's Republic of China
傑瑪佩斯戰役,Battle of Jemappes,Belgium
卡薩諾戰役 (1799年),Battle of Cassano,Italy
迪阿巴利戰鬥,Battle of Diabaly,Mali
考彭斯戰役,Battle of Cowpens,United States of America
平型关战役,Battle of Pingxingguan,People's Republic of China
法萊茲包圍戰,Falaise Pocket,France
第一次伊松佐河之役,First Battle of the Isonzo,Italy
漢考克之役,Battle of Hancock,United States of America
斯通斯河之役,Battle of Stones River,United States of America
斯塔腾岛战役,Battle of Staten Island,United States of America
伊松佐河戰役,Battle of Isonzo,Italy
沃索爾港口之役,Battle of Port Walthall Junction,United States of America
第三次阿圖瓦戰役,Third Battle of Artois,France
阿波馬托克斯法院戰役,Battle of Appomattox Court House,United States of America
諾瓦拉戰役 (1849年),Battle of Novara,Italy
史波特斯凡尼亞郡府之役,Battle of Spotsylvania Court House,United States of America
國王山戰役,Battle of Kings Mountain,United States of America
密爾斯普林斯之役,Battle of Mill Springs,United States of America
波亞卡戰役,Battle of Boyacá,Colombia
威廉斯堡之戰,Battle of Williamsburg,United States of America
内维尔十字之战,Battle of Neville's Cross,United Kingdom
君士坦丁堡之围,Siege of Constantinople (1203),Byzantine Empire
瓦院戰鬥,Battle of Wawon,People's Republic of China
久米田之戰,Q9384689,Japan
1560年格拉斯哥戰役,Battle of Glasgow,United Kingdom
