label,riverLabel,countryLabel
莫里河,Mauri River,Peru
比留薩河,Biryusa River,Russia
阿德恰河,Adycha River,Russia
莫里河,Mauri River,Bolivia
施瓦本雷扎特河,Schwäbische Rezat,Germany
湄公河,Mekong River,Thailand
湄公河,Mekong River,Laos
克雷姆斯河,Krems,Austria
埃爾德河,Elde,Germany
厄辛河,River Irthing,United Kingdom
維歐爾河,Viaur,France
波洛梅蒂河,Polomet River,Russia
季赫溫卡河,Tikhvinka River,Russia
康乃狄克河,Connecticut River,United States of America
黃石河,Yellowstone River,United States of America
利姆河,Lim,Albania
利姆河,Lim,Montenegro
于默河,Ume älv,Sweden
阿达河,Adda,Italy
安珀河,Amper,Germany
菖蒲河,Changpu,People's Republic of China
錫爾河 (西班牙),Sil,Spain
利姆河,Lim,Serbia
约旦河,Jordan River,Israel
约旦河,Jordan River,Palestine
约旦河,Jordan River,Jordan
尤里別伊河,Q187628,Russia
瓦諾夫河,Warnow,Germany
皮尼奥斯河,Pineios,Greece
温斯特鲁特河,Unstrut,Germany
黄河,Yellow River,People's Republic of China
北德维纳河,Northern Dvina River,Russia
格蘭德河 (巴拉那河),Grande River,Brazil
瓦加河,Vaga,Russia
比奥比奥河,Bío Bío River,Chile
佩訥河,Peene,Germany
南布格河,Southern Bug,Ukraine
莫爾科卡河,Morkoka River,Russia
普拉塔尼河,Platani,Italy
格蘭河,Glan,Austria
内雷特瓦河,Neretva,Croatia
内雷特瓦河,Neretva,Bosnia and Herzegovina
阿勒河,Aare,Switzerland
北萨斯喀彻温河,North Saskatchewan River,Canada
奴河,Slave River,Canada
萨斯喀彻温河,Saskatchewan River,Canada
薩勒河,Saale,Germany
科爾瓦河,Kolva River (Perm Krai),Russia
阿刻戎河,Acheron,Greece
馬爾哈河,Markha River,Russia
施普雷河,Spree,Germany
阿萨巴斯卡河,Athabasca River,Canada
图们江,Tumen River,Russia
施普雷河,Spree,Czech Republic
图们江,Tumen River,North Korea
图们江,Tumen River,People's Republic of China
坦斯河,Tons River,India
穆尔德河,Mulde,Germany
利亚德河,Liard River,Canada
库特内河,Kootenay River,Canada
印度河,Indus River,Pakistan
福斯河,River Forth,United Kingdom
印度河,Indus River,India
納爾遜河,Nelson River,Canada
開賽河,Kasai River,Democratic Republic of the Congo
阿姆加河,Amga River,Russia
法爾斯考瑟河,Falschauer,Italy
库特内河,Kootenay River,United States of America
開賽河,Kasai River,Angola
第聂伯河,Dnieper River,Russia
第聂伯河,Dnieper River,Ukraine
第聂伯河,Dnieper River,Belarus
哈德遜河,Hudson River,United States of America
印度河,Indus River,People's Republic of China
