label,riverLabel,countryLabel
ITA 水力發電廠,Itá Hydroelectric Power Plant,Brazil
馬沙迪紐水力發電廠,Machadinho Hydroelectric Power Plant,Brazil
下奎托湖,Q1646718,Russia
阿爾皮湖,Lake Arpi,Armenia
西韋爾斯湖,Lake Sivers,Latvia
阿拜亞湖,Lake Abaya,Ethiopia
克里沃耶湖,Krivoye Lake,Russia
勞瓦茲湖,Lake Lauerz,Switzerland
哈爾威湖,Lake Hallwil,Switzerland
巴爾代格湖,Lake Baldegg,Switzerland
席爾瓦普拉納湖,Lake Silvaplana,Switzerland
森帕赫湖,Lake Sempach,Switzerland
洞里萨湖,Tonlé Sap,Cambodia
莫尼艾爾撞擊坑,La Moinerie crater,Canada
兴凯湖,Khanka Lake,Russia
斯库台湖,Lake Skadar,Albania
斯库台湖,Lake Skadar,Montenegro
英戈水壩,Inga dams,Democratic Republic of the Congo
伊納里湖,Lake Inari,Finland
加尔达湖,Lake Garda,Italy
兴凯湖,Khanka Lake,People's Republic of China
尼加拉瓜湖,Lake Nicaragua,Nicaragua
季克紹澤羅湖,Lake Tikshozero,Russia
厄希嫩湖,Oeschinen Lake,Switzerland
比爾湖,Lake Biel,Switzerland
纳沙泰尔湖,Lake Neuchâtel,Switzerland
尤奧湖,Juojärvi,Finland
黑曾湖,Lake Hazen,Canada
班達米爾國家公園,Band-e Amir,Afghanistan
本納特湖,Bennett Lake,Canada
尼斯湖,Loch Ness,United Kingdom
格蘭德湖,Grand Lake,Canada
新高瀬川發電廠,Shin-Takasegawa Pumped Storage Station,Japan
多芬湖,Dauphin Lake,Canada
棟別湖,Dąbie Lake,Poland
喬治湖,Lake George,United States of America
斋桑泊,Lake Zaysan,Kazakhstan
米约萨湖,Mjøsa,Norway
漢泰湖,Lake Khantayskoye,Russia
維斯托爾斯科湖,Lake Visitor,Montenegro
菲特里湖,Lake Fitri,Chad
卡米納克湖,Kaminak Lake,Canada
維爾揚迪湖,Lake Viljandi,Estonia
諏訪湖,Lake Suwa,Japan
波因特湖,Point Lake,Canada
科派斯湖,Lake Copais,Greece
洪泽湖,Hongze Lake,People's Republic of China
拉多加湖,Lake Ladoga,Russia
馬里湖,Loch Maree,United Kingdom
恩戈澤羅湖,Lake Engozero,Russia
哈爾烏蘇湖,Khar-Us Lake,Mongolia
拉多加湖,Lake Ladoga,Finland
格盧博科耶湖,Lake Glubokoye,Russia
华盛顿湖,Lake Washington,United States of America
奧馬佩里湖,Lake Omapere,New Zealand
莫諾懷湖,Lake Monowai,New Zealand
卡拉馬爾卡湖,Kalamalka Lake,Canada
馬納普里湖,Lake Manapouri,New Zealand
利斯湖,Lisi Lake,Georgia
烏斯馬湖,Lake Usma,Latvia
良卡努庫湖,Llanganuco Lakes,Peru
托普利茲湖,Lake Toplitz,Austria
斯廷法利斯湖,Lake Stymphalia,Greece
伊爾門湖,Lake Ilmen,Russia
納蒂靈湖,Nettilling Lake,Canada
米湖,Mývatn,Iceland
多雷湖,Doré Lake,Canada
庫尼貢達湖,Synevyr,Ukraine
杜邦特湖,Dubawnt Lake,Canada
德拉瓦湖,Drawsko Lake,Poland
埃亞西湖,Lake Eyasi,Tanzania
謝戈澤羅湖,Lake Segozero,Russia
普魯韋西湖,Puruvesi,Finland
貝伊謝希爾湖,Lake Beyşehir,Turkey
萊切湖,Laguna de Leche,Cuba
約華湖,Lake Yojoa,Honduras
玛旁雍錯,Lake Manasarovar,People's Republic of China
伊其克乌尔湖,Ichkeul lake,Tunisia
蘇切斯湖,Suches Lake,Peru
佐呂間湖,Lake Saroma,Japan
卡邦加水庫,Cabonga Reservoir,Canada
馬姆利湖,Lake Mamry,Poland
蘇切斯湖,Suches Lake,Bolivia
死海,Dead Sea,Israel
死海,Dead Sea,Jordan
特里霍尼扎湖,Lake Trichonida,Greece
皮普馬康水庫,Pipmuacan Reservoir,Canada
維科湖,Lake Vico,Italy
凱烏魯塞爾凱湖,Keurusselkä,Finland
通湖,Tunnsjøen,Norway
沃爾茨湖,Võrtsjärv,Estonia
普雷斯帕湖,Lake Prespa,Albania
德里濟斯湖,Lake Drīdzis,Latvia
柯洪內亞湖,Lake Koroneia,Greece
新丰江水库,Xinfengjiang Reservoir,People's Republic of China
普雷斯帕湖,Lake Prespa,Greece
奧奈達湖,Oneida Lake,United States of America
通巴湖,Lake Tumba,Democratic Republic of the Congo
盧班斯湖,Lake Lubāns,Latvia
漢恰湖,Hańcza,Poland
灵湖,Ringsjön,Sweden
錫利揚湖,Siljan,Sweden
佐库里湖,Zorkul,Tajikistan
塞加拉阿納克湖,Lake Segara Anak,Indonesia
贝湖,Laguna de Bay,Philippines
科吉納斯湖,Lake Coghinas,Italy
伊德羅湖,Lake Idro,Italy
普雷斯帕湖,Lake Prespa,Republic of Macedonia
布列別涅斯庫爾湖,Q2335819,Ukraine
謝伊多澤羅湖,Lake Seydozero,Russia
比安維爾湖,Lac Bienville,Canada
赫爾曼德湖,Hamun-e Helmand,Iran
阿奇特湖,Achit Lake,Mongolia
特勞恩湖,Traunsee,Austria
西湖,West Lake,Vietnam
里察湖,Lake Ritsa,Georgia
赫爾曼德湖,Hamun-e Helmand,Afghanistan
茲懷湖,Lake Zway,Ethiopia
庫頁湖,Kurile Lake,Russia
里察湖,Lake Ritsa,Abkhazia
普斯科夫湖,Q1144905,Estonia
普斯科夫湖,Q1144905,Russia
布羅斯諾湖,Lake Brosno,Russia
黑湖,Černé jezero,Czech Republic
岱海,Q1157539,People's Republic of China
洛沃澤羅湖,Lake Lovozero,Russia
白湖,Lake Beloye,Russia
考塔考塔尼湖,Cotacotani Lake,Chile
密西西比湖,Mississippi Lake,Canada
科利科湖,Colico Lake,Chile
普拉夫湖,Lake Plav,Montenegro
本栖湖,Lake Motosu,Japan
卡斯托里亞湖,Lake Orestiada,Greece
维斯托尼斯湖,Lake Vistonida,Greece
帕佩斯湖,Lake Pape,Latvia
阿舒阿尼皮湖,Ashuanipi Lake,Canada
胡寧湖,Lake Junín,Peru
內湖,Lough Neagh,United Kingdom
烏德湖,Uddjaure,Sweden
奥尔塔湖,Lake Orta,Italy
穆斯特斯湖,Lago Musters,Argentina
薩雷茲湖,Sarez Lake,Tajikistan
厄恩湖,Lough Erne,United Kingdom
埃貝爾湖,Lake Eber,Turkey
奎托湖,Kuyto,Russia
切爾沃諾耶湖,Lake Chervonoye,Belarus
謝別日湖,Lake Sebezhskoye,Russia
代博湖,Lake Débo,Mali
布盧萬湖,Lake Buluan,Philippines
于萊米斯特湖,Ülemiste Lake,Estonia
尼奧斯湖,Lake Nyos,Cameroon
嘉洛科水庫,Ka Loko Reservoir,United States of America
屈斜路湖,Lake Kussharo,Japan
瓦利亞塔尼湖,Wallatani,Bolivia
捷列茨科耶湖,Lake Teletskoye,Russia
托訥湖,Torneträsk,Sweden
派延奈湖,Päijänne,Finland
博斯腾湖,Bosten Lake,People's Republic of China
哈爾庫湖,Lake Harku,Estonia
路易斯·岡薩加水壩,Luiz Gonzaga Dam,Brazil
達瑙湖 (雷伊泰省),Lake Danao,Philippines
伍茲湖,Lac des Bois,Canada
伊利亞姆納湖,Iliamna Lake,United States of America
洞庭湖,Dongting Lake,People's Republic of China
達保湖,Lake Dapao,Philippines
瓦納卡湖,Lake Wanaka,New Zealand
色林错,Siling Lake,People's Republic of China
卡拉科塔湖,Q'ara Quta,Bolivia
温尼珀索基湖,Lake Winnipesaukee,United States of America
米爾施塔特湖,Millstätter See,Austria
伊爾佳亞什湖,Q1400480,Russia
扎日南木错,Zhari Namco,People's Republic of China
伊胡特里湖,Lake Ihotry,Madagascar
列佩利湖,Q1194106,Belarus
安吉庫尼湖,Angikuni Lake,Canada
喬治湖,Lake George,Australia
伊舍克勒湖,Lake Işıklı,Turkey
科爾德湖,Cold Lake,Canada
迪默湖,Dümmer See,Germany
楚拜亥湖,Lake Chew Bahir,Ethiopia
运城盐湖,Xiechi Lake,People's Republic of China
阿馬蘭巴湖,Lake Amaramba,Mozambique
加利奇斯科耶湖,Lake Galichskoye,Russia
葉什勒池,Yashikul,Tajikistan
阿伯丁湖,Aberdeen Lake,Canada
纳木错,Namtso,People's Republic of China
高邮湖,Gaoyou Lake,People's Republic of China
貝爾德潟湖,Laguna Verde,Chile
山中湖,Lake Yamanaka,Japan
镜泊湖,Jingpo Lake,People's Republic of China
伍茲湖,Lake of the Woods,Canada
亞爾普格湖,Yalpug Lake,Ukraine
卡斯巴湖,Kasba Lake,Canada
阿伯蒂比湖,Lake Abitibi,Canada
聖約瑟夫湖,Lake St. Joseph,Canada
罗布泊,Lop Nur,People's Republic of China
伍茲湖,Lake of the Woods,United States of America
卡尤加湖,Cayuga Lake,United States of America
休特吉奧爾湖,Lake Siutghiol,Romania
普倫湖,Großer Plöner See,Germany
姆斯蒂諾湖,Lake Mstino,Russia
盧科姆爾湖,Lake Lukomlskoye,Belarus
根瓦爾湖,Lake Genval,Belgium
馬萊博湖,Pool Malebo,Democratic Republic of the Congo
甘德湖,Gander Lake,Canada
斯圖爾湖,Storsjön,Sweden
奇爾瓦湖,Lake Chilwa,Malawi
阿比加塔湖,Lake Abijatta,Ethiopia
拉卡湖,Laka,Czech Republic
亞姆諾湖,Jamno,Poland
帕托斯湖,Lagoa dos Patos,Brazil
欧肯纳根湖,Okanagan Lake,Canada
